Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 64,Country/Other
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.078431372548998,18.6486486486487,12.129840546696999,3.96140172676485,7.9628724963360895,5.88235294117648,7.307692307692309,8.203902827558741,2.54714266234267,1.18578998761679,7.046872206574339,1.99198836186616,1.23803928308813,7.6165897041888,-2.97125698742023,-3.27364688726264,1.9755472866014299,7.91156467197911,1.21434883180251,1.0506066363106001,1.800225853688,-0.09070775351769099,-10.5197476066345,-3.68502958088573,3.44605475040258,-1.3698630136986298,4.19823232323233,0.848227809754619,-0.450585761489947,-0.21122510561255603,1.3305110371938402,0.0,0.0,0.0,True
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83227780370231,1.4141179802191601,11.2297148388595,5.35740324754602,13.8263195390595,3.92498382284521,21.390528405312,14.3624414596816,0.4263547928566,12.7522870825788,5.60074466131904,2.7245433649502795,1.4513146545800502,2.2603142045464,2.66529204636836,1.03066005804328,0.0,0.0,True
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.400001219361701,0.0,4.20000142834162,6.00000216437302,3.49999948953466,2.9000017426512,4.08274863648847,6.1288904762001595,0.0416214618442581,-3.45009868360485,0.9913593014608749,-5.83828073313141,-23.9834174420578,1.3393634364799099,15.0000000288634,13.544369755102599,7.27427735460373,4.6911464509354905,2.18148971840458,3.05462423430785,4.2059985561951,13.6656865230232,2.98985001039553,10.952861768710301,15.028915317530197,11.547683178163302,14.010018242632801,11.166138330361399,0.858712615098284,4.85921958436937,3.4719813723022206,8.54214733707519,4.954590477558719,4.8226255492722006,0.9435756130591101,-2.58009724033977,-0.147207426247036,-2.1334932567635603,0.0,0.0,True
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7456352920068,2.9485968015687,1.1049382618269998,-1.25159664469855,1.78064395977269,5.6372431782518495,-0.7878426550129379,-1.4200396548224699,9.83654897047623,-9.575640169486448,-28.002141656046,-7.18711091636951,9.55941169434753,8.30286659112861,13.322333320080302,9.09999944360231,-10.9199840851035,8.83008770869769,12.889896733188902,6.95003613422918,8.29007002725659,4.53996064044719,5.53005077793323,5.5099986931984,5.52991480926491,5.900083957380639,5.97998203625438,7.499969560291659,3.35006739254982,3.70689143341055,2.54532265145231,1.41752440769345,1.00198870924962,1.77448677132742,2.21875146034631,3.31480475341897,3.8210814166986604,4.145237935948391,0.0,0.0,True
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64946536081882,8.14974348860618,7.78846720294044,5.6187897296294596,0.542205658763706,3.30378704950753,2.83857556610091,1.46300017893419,0.0415571951292861,2.2087276069305397,-0.132474511474584,1.2464611134255301,1.7701183169325,1.78468669356819,2.32143303219918,3.2533217783064003,5.547122170538059,5.094326203232191,4.827034244069139,3.7813875896292,2.5460028718763796,0.9292119562888961,-1.0314840109579,2.38318769098804,2.7574991873297,4.6497401487506,9.06767219910516,3.19479029605851,4.09908083663409,3.52836129711109,4.54676831970609,6.47101467082791,12.168719886904599,7.64786979021986,7.396982715365009,4.5363531191599105,0.0400110668908411,-8.59000378676674,-3.69065350958851,-5.358825775333361,-4.64654305163337,-1.6152181829866499,0.35164500185074105,2.27768315306425,0.842203518374134,1.8891243866393999,1.7240222367898101,1.62934547096762,0.0,0.0,True
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5268565060148,21.439330170199,-1.58960331991595,20.9235730770152,23.874774910498,4.659176674065151,-6.7193161857078305,-4.745820699965821,4.0169512795941005,-3.59447651736838,-14.9581365645327,3.3819817090087794,-2.61890770383279,12.337891282260001,18.3279855336405,0.8600819457782191,3.3449448618412,1.26119095149724,6.8961485505266795,6.68788646362944,5.79840406132159,8.1903986407705,0.291994348685435,2.90221364464598,10.8527042125985,1.39908503032633,2.43345681036158,8.800540814864322,9.566436637161619,4.85514119630903,9.83731977348492,3.1843901736723796,3.1918362761038397,-5.2429219066759005,1.6028099606822899,6.930271629438351,4.4846260849087,5.0533458252665495,4.28430368911312,5.10593698438559,3.0609643046670496,0.49086076097776793,1.72634934292543,0.0,0.0,True
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,5.427842879512481,-0.8520215234819659,-5.308196826517269,10.1302976614338,10.5694333403429,-0.659726171593704,3.1919966233703,4.82250078158646,9.67952600806899,3.04564331900328,5.65813108318036,1.6284165162551103,2.81175404095775,5.53380439483222,-0.0284121027670921,-2.01825151667566,6.934147755379749,-4.506124802476929,10.222763464872699,1.51878394940456,-5.18978914005386,-0.7356591616272969,4.3490932795742205,1.5707387022300698,-5.189024352155291,6.15337706274559,2.70486882600891,-1.08993334173134,-7.156949655549719,-2.4672137763745896,9.13311056620103,7.93729155643075,8.20697907221228,5.83620070368526,-2.84520961057081,5.526689827152341,8.1110467707457,3.85017885156229,-3.3854570406327005,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.837040795769239,9.02957330068155,8.85165992013435,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.003951692805789,-1.0264204544320799,2.40532378079436,-2.5126153208139597,2.73115982828946,-2.08032784377811,2.66859037935303,-2.4817924450927404,0.0,0.0,True
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.6999984849208,-41.800002744720295,-8.79999879416236,5.400002782773809,6.899998415540139,5.86540075090531,3.3210796982683597,7.299999989313309,3.30000000199068,5.9000000010353695,9.556641499806618,13.186300530456199,14.0407950552142,10.4678418560027,13.8657112537337,13.198003518068301,13.7492019576137,6.90000000204793,-14.149988639340197,2.19999999752649,4.699999998797749,7.20000000365837,3.3,3.6000000005899304,3.1999999989662498,0.199999999825991,7.500000001641441,5.19999999965322,0.0,0.0,True
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814111261872426,0.538358008075377,-0.401606425702823,-4.166666666666661,1.9635343618513301,-2.61348005502062,-4.23728813559323,0.44247787610618206,0.293685756240819,-4.39238653001463,-2.75650842266464,0.9448818897638058,1.40405616224648,-2.76923076923077,-5.85443037974683,2.18487394957982,0.0,0.0,True
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38362792086504,8.079745336659139,8.161430796979639,3.8149161655409505,-0.0840122638518039,5.36401627271424,10.1649955948421,7.6437935974254,11.493828565369698,6.626368846645139,5.21327290002557,5.252274656090901,3.0116466622381197,2.17687336256473,1.15832626873824,5.28007148779103,6.67619516293692,-4.3594939899546095,6.604818088365589,5.471131931738,4.73131371210214,3.70789461849279,6.69174238194239,-4.954074710892559,1.02410086163871,6.057908549560441,5.736460188482,6.412405163995349,12.728507447159,9.259420559722711,-0.03013326815055,-12.1075361856213,-7.57435721754354,-1.9586126283433998,3.37286620031864,-0.600876396735046,3.7957276129425095,3.8252930988082703,5.497788456106419,3.1455436032318698,7.3891971623235095,0.0,0.0,True
